"DATE","DCOILBRENTEU","DCOILWTICO","DEXUSAL","DEXCAUS","DEXDNUS","DEXUSEU","DEXNOUS","DEXSDUS","DEXUSUK","OVX","DEXNOEU","DEXBZUS","DEXMXUS","CHFEUR","DEXJPUS","DEXSZUS"
1979-07-01,NA,NA,1.129,1.1697,5.275,NA,5.047,4.216,2.2475,NA,NA,NA,NA,NA,216.51,1.659
1979-08-01,NA,NA,1.1274,1.1663,5.275,NA,5.033,4.217,2.2527,NA,NA,NA,NA,NA,217.9256522,1.6562
1979-09-01,NA,NA,1.1285,1.1606,5.0875,NA,4.875,4.128,2.203,NA,NA,NA,NA,NA,222.4136842,1.554
1979-10-01,NA,NA,1.0972,1.1845,5.32,NA,5.013,4.2545,2.0745,NA,NA,NA,NA,NA,230.4845455,1.6605
1979-11-01,NA,NA,1.0942,1.1706,5.346,NA,4.977,4.18,2.199,NA,NA,NA,NA,NA,244.9842105,1.598
1979-12-01,NA,NA,1.1057,1.1684,5.356,NA,4.927,4.153,2.2185,NA,NA,NA,NA,NA,240.3745,1.595
1980-01-01,NA,NA,1.1067,1.1585,5.453,NA,4.87,4.167,2.2667,NA,NA,NA,NA,NA,237.8886364,1.638
1980-02-01,NA,NA,1.097,1.145,5.514,NA,4.9115,4.213,2.273,NA,NA,NA,NA,NA,244.35,1.7025
1980-03-01,NA,NA,1.0818,1.1915,6.055,NA,5.182,4.48,2.16,NA,NA,NA,NA,NA,248.4785714,1.8515
1980-04-01,NA,NA,1.115,1.1881,5.638,NA,4.934,4.208,2.2585,NA,NA,NA,NA,NA,250.275,1.6675
1980-05-01,NA,NA,1.1428,1.1588,5.527,NA,4.864,4.19,2.3425,NA,NA,NA,NA,NA,228.6285714,1.662
1980-06-01,NA,NA,1.155,1.1512,5.463,NA,4.844,4.16,2.3555,NA,NA,NA,NA,NA,217.917619,1.6298
1980-07-01,NA,NA,1.1515,1.1619,5.503,NA,4.885,4.169,2.3425,NA,NA,NA,NA,NA,221.1363636,1.648
1980-08-01,NA,NA,1.1648,1.1576,5.5545,NA,4.844,4.173,2.396,NA,NA,NA,NA,NA,223.9138095,1.649
1980-09-01,NA,NA,1.171,1.1705,5.5915,NA,4.8675,4.161,2.387,NA,NA,NA,NA,NA,214.4166667,1.6535
1980-10-01,NA,NA,1.172,1.1753,5.855,NA,4.962,4.252,2.4365,NA,NA,NA,NA,NA,209.3227273,1.715
1980-11-01,NA,NA,1.164,1.1899,5.9165,NA,5.0425,4.3285,2.3575,NA,NA,NA,NA,NA,213.1058824,1.7385
1980-12-01,NA,NA,1.1814,1.1945,6.01,NA,5.1825,4.3825,2.389,NA,NA,NA,NA,NA,209.4886364,1.7875
1981-01-01,NA,NA,1.1784,1.1943,6.555,NA,5.4825,4.6,2.3655,NA,NA,NA,NA,NA,202.3666667,1.932
1981-02-01,NA,NA,1.155,1.2013,6.65,NA,5.462,4.64,2.204,NA,NA,NA,NA,NA,205.7166667,1.962
1981-03-01,NA,NA,1.1669,1.1873,6.64,NA,5.39,4.61,2.2325,NA,NA,NA,NA,NA,208.7918182,1.928
1981-04-01,NA,NA,1.1492,1.1962,6.9655,NA,5.541,4.75,2.1395,NA,NA,NA,NA,NA,214.9759091,2.021
1981-05-01,NA,NA,1.1387,1.2037,7.332,NA,5.744,4.95,2.07,NA,NA,NA,NA,NA,220.6285,2.0758
1981-06-01,NA,NA,1.1478,1.2006,7.5135,NA,6.014,5.088,1.93,NA,NA,NA,NA,NA,224.1804545,2.0495
1981-07-01,NA,NA,1.1352,1.2339,7.768,NA,6.1375,5.228,1.84,NA,NA,NA,NA,NA,232.326087,2.1485
1981-08-01,NA,NA,1.1495,1.202,7.652,NA,6.078,5.217,1.845,NA,NA,NA,NA,NA,233.3261905,2.142
1981-09-01,NA,NA,1.1428,1.2069,7.3025,NA,5.93,5.605,1.803,NA,NA,NA,NA,NA,229.4809524,1.975
1981-10-01,NA,NA,1.137,1.203,7.245,NA,5.9425,5.564,1.862,NA,NA,NA,NA,NA,231.5190476,1.835
1981-11-01,NA,NA,1.1518,1.1766,7.1125,NA,5.71,5.4375,1.955,NA,NA,NA,NA,NA,223.1266667,1.7725
1981-12-01,NA,NA,1.128,1.1863,7.29,NA,5.765,5.49,1.915,NA,NA,NA,NA,NA,218.9545455,1.788
1982-01-01,NA,NA,1.093,1.1967,7.6025,NA,5.8975,5.685,1.879,NA,NA,NA,NA,NA,224.805,1.846
1982-02-01,NA,NA,1.0735,1.229,7.9875,NA,6.0235,5.7975,1.82,NA,NA,NA,NA,NA,235.3055556,1.899
1982-03-01,NA,NA,1.0494,1.2305,8.228,NA,6.106,5.937,1.781,NA,NA,NA,NA,NA,241.2282609,1.9385
1982-04-01,NA,NA,1.0614,1.2197,7.96,NA,5.9725,5.795,1.7945,NA,NA,NA,NA,NA,244.1068182,1.957
1982-05-01,NA,NA,1.0503,1.244,7.99,NA,6.0235,5.85,1.791,NA,NA,NA,NA,NA,236.9635,1.9975
1982-06-01,NA,NA,1.0221,1.2929,8.51,NA,6.265,6.12,1.7355,NA,NA,NA,NA,NA,251.1977273,2.0995
1982-07-01,NA,NA,0.989,1.2556,8.57,NA,6.47,6.11,1.738,NA,NA,NA,NA,NA,255.0309524,2.1
1982-08-01,NA,NA,0.9642,1.2392,8.715,NA,6.72,6.1475,1.7205,NA,NA,NA,NA,NA,259.0454545,2.127
1982-09-01,NA,NA,0.9495,1.2363,8.8475,NA,6.97,6.28,1.6945,NA,NA,NA,NA,NA,263.2857143,2.171
1982-10-01,NA,NA,0.9358,1.2261,9.01,NA,7.245,7.456,1.677,NA,NA,NA,NA,NA,271.615,2.2075
1982-11-01,NA,NA,0.9579,1.2373,8.67,NA,7.025,7.378,1.632,NA,NA,NA,NA,NA,264.0878947,2.1175
1982-12-01,NA,NA,0.98,1.2297,8.38,NA,7.06,7.31,1.618,NA,NA,NA,NA,NA,241.9413043,2.0075
1983-01-01,NA,NA,0.9677,1.2367,8.655,NA,7.19,7.505,1.5202,NA,NA,NA,NA,NA,232.7309524,2.015
1983-02-01,NA,NA,0.9545,1.229,8.67,NA,7.1675,7.4825,1.5115,NA,NA,NA,NA,NA,236.1210526,2.0625
1983-03-01,NA,NA,0.8642,1.2341,8.625,NA,7.22,7.55,1.4825,NA,NA,NA,NA,NA,238.2543478,2.0855
1983-04-01,NA,NA,0.8671,1.2262,8.77,NA,7.118,7.505,1.5573,NA,NA,NA,NA,NA,237.7466667,2.073
1983-05-01,NA,NA,0.8811,1.23,9.04,NA,7.155,7.5425,1.6005,NA,NA,NA,NA,NA,234.7557143,2.096
1983-06-01,NA,NA,0.8753,1.2276,9.1225,NA,7.296,7.63,1.533,NA,NA,NA,NA,NA,240.0313636,2.1025
1983-07-01,NA,NA,0.8801,1.234,9.515,NA,7.385,7.753,1.52,NA,NA,NA,NA,NA,240.516,2.1345
1983-08-01,NA,NA,0.8782,1.234,9.712,NA,7.495,7.925,1.494,NA,NA,NA,NA,NA,244.4613043,2.187
1983-09-01,NA,NA,0.8971,1.233,9.5025,NA,7.338,7.81,1.4977,NA,NA,NA,NA,NA,242.3461905,2.12
1983-10-01,NA,NA,0.9135,1.2326,9.4865,NA,7.386,7.8255,1.4952,NA,NA,NA,NA,NA,232.8855,2.143
1983-11-01,NA,NA,0.9147,1.2392,9.7575,NA,7.4975,7.96,1.463,NA,NA,NA,NA,NA,235.03,2.1615
1983-12-01,NA,NA,0.8965,1.2445,9.88,NA,7.71,8.01,1.4515,NA,NA,NA,NA,NA,234.462381,2.179
1984-01-01,NA,NA,0.9172,1.2493,10.215,NA,7.882,8.188,1.4012,NA,NA,NA,NA,NA,233.8,2.253
1984-02-01,NA,NA,0.9435,1.2519,9.535,NA,7.5025,7.77,1.4905,NA,NA,NA,NA,NA,233.5963158,2.168
